;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO AL CONTADO;PRECIO FINAL
;1;G1;G;1;2;200;ESQUINA;S/ 39,000.00;S/ 5,000.00;S/ 35,000.00
;2;G2;G;2;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;3;G3;G;3;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;4;G4;G;4;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;5;G5;G;5;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;6;G6;G;6;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;7;G7;G;7;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;8;G8;G;8;2;200;FRENTE OTROS FINES;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00
;9;G9;G;9;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;10;G10;G;10;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;11;G11;G;11;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;12;G12;G;12;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;13;G13;G;13;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;14;G14;G;14;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;15;G15;G;15;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;16;G16;G;16;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;17;G17;G;17;2;200;ESTANDAR;S/ 35,000.00;S/ 8,000.00;S/ 27,000.00
;18;G18;G;18;2;200;ESQUINA;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00
;19;H1;H;1;2;202.44;ESQUINA;S/ 39,414.80;S/ 8,000.00;S/ 31,414.80
;20;H2;H;2;2;200.03;ESTANDAR;S/ 37,004.35;S/ 10,000.00;S/ 27,004.35
;21;H3;H;3;2;200.03;ESTANDAR;S/ 37,004.35;S/ 10,000.00;S/ 27,004.35
;22;H4;H;4;2;200.03;ESTANDAR;S/ 37,004.35;S/ 10,000.00;S/ 27,004.35
;23;H5;H;5;2;200.03;ESTANDAR;S/ 37,004.35;S/ 10,000.00;S/ 27,004.35
;24;H6;H;6;2;202.44;ESQUINA;S/ 43,427.00;S/ 10,000.00;S/ 33,427.00
;25;H7;H;7;2;295.75;ESTANDAR;S/ 50,883.75;S/ 10,000.00;S/ 40,883.75
;26;H8;H;8;2;295.75;ESQ. OTROS FINES;S/ 61,192.50;S/ 8,000.00;S/ 53,192.50
;27;H9;H;9;2;3612;LOTE OTROS FINES;;S/ 8,000.00;S/ -8,000.00
;28;H10;H;10;2;202.44;ESQ.FRENTE PARQ-O.FINES;S/ 43,463.60;S/ 8,000.00;S/ 35,463.60
;29;H11;H;11;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 10,000.00;S/ 38,006.00
;30;H12;H;12;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 10,000.00;S/ 38,006.00
;31;H13;H;13;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 10,000.00;S/ 38,006.00
;32;H14;H;14;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 10,000.00;S/ 38,006.00
;33;H15;H;15;2;202.44;ESQ.FRENTE A PARQ-O.FINES;S/ 43,463.60;S/ 8,000.00;S/ 35,463.60
;34;H16;H;16;2;295.75;ESQUINA FRENTE CLUB HOUSE;S/ 59,756.25;S/ 10,000.00;S/ 49,756.25
;35;H17;H;17;2;295.75;ESTANDAR;S/ 50,883.75;S/ 10,000.00;S/ 40,883.75
;36;I1;I;1;2;200;ESQUINA;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00
;37;I2;I;2;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;38;I3;I;3;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;39;I4;I;4;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;40;I5;I;5;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;41;I6;I;6;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;42;I7;I;7;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;43;I8;I;8;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;44;I9;I;9;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;45;I10;I;10;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;46;I11;I;11;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;47;I12;I;12;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;48;I13;I;13;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;49;I14;I;14;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;50;I15;I;15;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 10,000.00;S/ 38,000.00
;51;I16;I;16;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;52;I17;I;17;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;53;I18;I;18;2;200;ESQUINA;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00
;54;J1;J;1;2;200;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 8,000.00;S/ 30,000.00
;55;J2;J;2;2;200;FRENTE PARQUE;S/ 32,000.00;S/ 8,000.00;S/ 24,000.00
;56;J3;J;3;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;57;J4;J;4;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;58;J5;J;5;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;59;J6;J;6;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;60;J7;J;7;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;61;J8;J;8;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;62;J9;J;9;2;200;FRENTE PARQUE;S/ 32,000.00;S/ 8,000.00;S/ 24,000.00
;63;J10;J;10;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;64;J11;J;11;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;65;J12;J;12;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;66;J13;J;13;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;67;J14;J;14;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;68;J15;J;15;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;69;J16;J;16;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;70;J17;J;17;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;71;J18;J;18;2;200;ESQUINA;S/ 43,000.00;S/ 10,000.00;S/ 33,000.00
;72;K1;K;1;2;202.44;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 8,000.00;S/ 30,000.00
;73;K2;K;2;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 10,000.00;S/ 29,004.65
;74;K3;K;3;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 10,000.00;S/ 29,004.65
;75;K4;K;4;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 10,000.00;S/ 29,004.65
;76;K5;K;5;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 10,000.00;S/ 29,004.65
;77;K6;K;6;2;202.44;ESQ. FRENTE A PARQUE;S/ 45,451.40;S/ 10,000.00;S/ 35,451.40
;78;K7;K;7;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;79;K8;K;8;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;80;K9;K;9;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;81;K10;K;10;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;82;K11;K;11;2;200;ESQUINA;S/ 43,000.00;S/ 10,000.00;S/ 33,000.00
;83;K12;K;12;2;200;ESQUINA;S/ 43,000.00;S/ 10,000.00;S/ 33,000.00
;84;K13;K;13;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;85;K14;K;14;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;86;K15;K;15;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;87;K16;K;16;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;88;L1;L;1;2;200;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 8,000.00;S/ 30,000.00
;89;L2;L;2;2;200;FRENTE PARQUE;S/ 32,000.00;S/ 8,000.00;S/ 24,000.00
;90;L3;L;3;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;91;L4;L;4;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;92;L5;L;5;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;93;L6;L;6;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;94;L7;L;7;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;95;L8;L;8;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;96;L9;L;9;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 10,000.00;S/ 29,000.00
;97;L10;L;10;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;98;L11;L;11;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;99;L12;L;12;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;100;L13;L;13;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;101;L14;L;14;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;102;L15;L;15;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
;103;L16;L;16;2;200;ESTANDAR;S/ 37,000.00;S/ 10,000.00;S/ 27,000.00
