;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;84 CUOTAS
;1;G1;G;1;2;200;ESQUINA;S/ 39,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;S/ 380.95
;2;G2;G;2;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;3;G3;G;3;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;4;G4;G;4;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;5;G5;G;5;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;6;G6;G;6;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;7;G7;G;7;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;8;G8;G;8;2;200;FRENTE OTROS FINES;S/ 37,000.00;S/ 5,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;9;G9;G;9;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;10;G10;G;10;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;11;G11;G;11;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;12;G12;G;12;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;13;G13;G;13;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;14;G14;G;14;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;15;G15;G;15;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;16;G16;G;16;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;17;G17;G;17;2;200;ESTANDAR;S/ 35,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;18;G18;G;18;2;200;ESQUINA;S/ 39,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;19;H1;H;1;2;202.44;ESQUINA;S/ 39,414.80;S/ 5,000.00;S/ 35,427.00;S/ 2,000.00;S/ 397.94
;20;H2;H;2;2;200.03;ESTANDAR;S/ 37,004.35;S/ 8,000.00;S/ 29,004.35;S/ 2,000.00;S/ 321.48
;21;H3;H;3;2;200.03;ESTANDAR;S/ 37,004.35;S/ 8,000.00;S/ 29,004.35;S/ 2,000.00;S/ 321.48
;22;H4;H;4;2;200.03;ESTANDAR;S/ 37,004.35;S/ 8,000.00;S/ 29,004.35;S/ 2,000.00;S/ 321.48
;23;H5;H;5;2;200.03;ESTANDAR;S/ 37,004.35;S/ 8,000.00;S/ 29,004.35;S/ 2,000.00;S/ 321.48
;24;H6;H;6;2;202.44;ESQUINA;S/ 43,427.00;S/ 8,000.00;S/ 35,427.00;S/ 2,000.00;S/ 397.94
;25;H7;H;7;2;295.75;ESTANDAR;S/ 50,883.75;S/ 8,000.00;S/ 42,883.75;S/ 2,000.00;S/ 486.71
;26;H8;H;8;2;295.75;ESQ. OTROS FINES;S/ 61,192.50;S/ 5,000.00;S/ 54,713.75;S/ 2,000.00;S/ 627.54
;27;H9;H;9;2;3612;LOTE OTROS FINES;;;;;S/ 0.00
;28;H10;H;10;2;202.44;ESQ.FRENTE PARQ-O.FINES;S/ 43,463.60;S/ 5,000.00;S/ 37,451.40;S/ 2,000.00;S/ 422.04
;29;H11;H;11;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 8,000.00;S/ 40,006.00;S/ 2,000.00;S/ 452.45
;30;H12;H;12;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 8,000.00;S/ 40,006.00;S/ 2,000.00;S/ 452.45
;31;H13;H;13;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 8,000.00;S/ 40,006.00;S/ 2,000.00;S/ 452.45
;32;H14;H;14;2;200.03;FRENTE CLUB HOUSE;S/ 48,006.00;S/ 8,000.00;S/ 40,006.00;S/ 2,000.00;S/ 452.45
;33;H15;H;15;2;202.44;ESQ.FRENTE A PARQ-O.FINES;S/ 43,463.60;S/ 5,000.00;S/ 37,451.40;S/ 2,000.00;S/ 422.04
;34;H16;H;16;2;295.75;ESQUINA FRENTE CLUB HOUSE;S/ 59,756.25;S/ 8,000.00;S/ 51,756.25;S/ 2,000.00;S/ 592.34
;35;H17;H;17;2;295.75;ESTANDAR;S/ 50,883.75;S/ 8,000.00;S/ 42,883.75;S/ 2,000.00;S/ 486.71
;36;I1;I;1;2;200;ESQUINA;S/ 39,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;37;I2;I;2;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;38;I3;I;3;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;39;I4;I;4;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;40;I5;I;5;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;41;I6;I;6;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;42;I7;I;7;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;43;I8;I;8;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;44;I9;I;9;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;45;I10;I;10;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;46;I11;I;11;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;47;I12;I;12;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;48;I13;I;13;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;49;I14;I;14;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;50;I15;I;15;2;200;FRENTE CLUB HOUSE;S/ 48,000.00;S/ 8,000.00;S/ 40,000.00;S/ 2,000.00;S/ 452.38
;51;I16;I;16;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;52;I17;I;17;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;53;I18;I;18;2;200;ESQUINA;S/ 39,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;54;J1;J;1;2;200;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 5,000.00;S/ 37,000.00;S/ 2,000.00;S/ 416.67
;55;J2;J;2;2;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;56;J3;J;3;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;57;J4;J;4;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
